علت فوت,تعداد
بيماري هاي عفوني و انگلي,612
بيماريهاي سيستم عصبي,33
سرطانها و تومورها,436
بيماري هاي دستگاه تنفسي,753
بيماري هاي قلبي و عروقي,2072
بيماري هاي دستگاه گوارش,139
بيماري هاي دستگاه ادراري و تناسلي,98
شهادت,1
ناهنجاري هاي مادرزادي و کروموزومي,9
بيماري هاي اسکلتي و عضالني,1
بيماري هاي دوران حول تولد,10
عوارض حاملگي و زايمان,0
حوادث غير عمدي,238
عالئم و حاالت بد تعريف شده و مبهم,143
بيماري هاي خونساز و دستگاه ايمني,8
نامعلوم,319
بيماريهاي غدد،تغذيه و متابوليک,37
ساير,7
بيماريهاي رواني و اختالل رفتاري,1
جمع کل,4917
