علت فوت,تعداد
بيماري هاي عفوني و انگلي,532
بيماريهاي سيستم عصبي,31
سرطانها و تومورها,500
بيماري هاي دستگاه تنفسي,763
بيماري هاي قلبي و عروقي,2118
بيماري هاي دستگاه گوارش,129
بيماري هاي دستگاه ادراري و تناسلي,98
شهادت,0
ناهنجاري هاي مادرزادي و کروموزومي,10
بيماري هاي اسکلتي و عضالني,7
بيماري هاي دوران حول تولد,13
عوارض حاملگي و زايمان,0
حوادث غير عمدي,198
عالئم و حاالت بد تعريف شده و مبهم,121
بيماري هاي خونساز و دستگاه ايمني,14
نامعلوم,359
بيماريهاي غدد،تغذيه و متابوليک,26
ساير,5
بيماريهاي رواني و اختالل رفتاري,2
جمع کل,4926
