علت فوت,تعداد
بيماري هاي عفوني و انگلي,560
بيماريهاي سيستم عصبي,36
سرطانها و تومورها,532
بيماري هاي دستگاه تنفسي,853
بيماري هاي قلبي و عروقي,2298
بيماري هاي دستگاه گوارش,145
بيماري هاي دستگاه ادراري و تناسلي,126
شهادت,2
ناهنجاري هاي مادرزادي و کروموزومي,10
بيماري هاي اسکلتي و عضالني,3
بيماري هاي دوران حول تولد,13
عوارض حاملگي و زايمان,1
حوادث غير عمدي,232
عالئم و حاالت بد تعريف شده و مبهم,151
بيماري هاي خونساز و دستگاه ايمني,11
نامعلوم,347
بيماريهاي غدد،تغذيه و متابوليک,52
ساير,2
بيماريهاي رواني و اختالل رفتاري,1
جمع کل,5375
