علت فوت,تعداد
بيماري هاي عفوني و انگلي,552
بيماريهاي سيستم عصبي,46
سرطانها و تومورها,451
بيماري هاي دستگاه تنفسي,930
بيماري هاي قلبي و عروقي,2226
بيماري هاي دستگاه گوارش,134
بيماري هاي دستگاه ادراري و تناسلي,106
شهادت,72
ناهنجاري هاي مادرزادي و کروموزومي,16
بيماري هاي اسکلتي و عضالني,4
بيماري هاي دوران حول تولد,10
عوارض حاملگي و زايمان,0
حوادث غير عمدي,213
عالئم و حاالت بد تعريف شده و مبهم,152
بيماري هاي خونساز و دستگاه ايمني,9
نامعلوم,353
بيماريهاي غدد،تغذيه و متابوليک,32
ساير,1
بيماريهاي رواني و اختالل رفتاري,3
جمع کل,5310
