علت فوت,تعداد
بيماري هاي عفوني و انگلي,510
بيماريهاي سيستم عصبي,38
سرطانها و تومورها,388
بيماري هاي دستگاه تنفسي,707
بيماري هاي قلبي و عروقي,2007
بيماري هاي دستگاه گوارش,141
بيماري هاي دستگاه ادراري و تناسلي,119
شهادت,0
ناهنجاري هاي مادرزادي و کروموزومي,12
بيماري هاي اسکلتي و عضالني,2
بيماري هاي دوران حول تولد,11
عوارض حاملگي و زايمان,0
حوادث غير عمدي,216
عالئم و حاالت بد تعريف شده و مبهم,129
بيماري هاي خونساز و دستگاه ايمني,13
نامعلوم,312
بيماريهاي غدد،تغذيه و متابوليک,32
ساير,3
بيماريهاي رواني و اختالل رفتاري,1
جمع کل,4641
