علت فوت,تعداد
بيماري هاي عفوني و انگلي,556
بيماريهاي سيستم عصبي,42
سرطانها و تومورها,464
بيماري هاي دستگاه تنفسي,853
بيماري هاي قلبي و عروقي,2348
بيماري هاي دستگاه گوارش,141
بيماري هاي دستگاه ادراري و تناسلي,107
شهادت,25
ناهنجاري هاي مادرزادي و کروموزومي,15
بيماري هاي اسکلتي و عضالني,2
بيماري هاي دوران حول تولد,7
عوارض حاملگي و زايمان,0
حوادث غير عمدي,174
عالئم و حاالت بد تعريف شده و مبهم,146
بيماري هاي خونساز و دستگاه ايمني,6
نامعلوم,374
بيماريهاي غدد،تغذيه و متابوليک,22
ساير,1
بيماريهاي رواني و اختالل رفتاري,4
جمع کل,5287
