علت فوت,تعداد
بيماري هاي عفوني و انگلي,515
بيماريهاي سيستم عصبي,43
سرطانها و تومورها,411
بيماري هاي دستگاه تنفسي,673
بيماري هاي قلبي و عروقي,1925
بيماري هاي دستگاه گوارش,116
بيماري هاي دستگاه ادراري و تناسلي,105
شهادت,2
ناهنجاري هاي مادرزادي و کروموزومي,13
بيماري هاي اسکلتي و عضالني,0
بيماري هاي دوران حول تولد,9
عوارض حاملگي و زايمان,0
حوادث غير عمدي,250
عالئم و حاالت بد تعريف شده و مبهم,128
بيماري هاي خونساز و دستگاه ايمني,13
نامعلوم,343
بيماريهاي غدد،تغذيه و متابوليک,38
ساير,9
بيماريهاي رواني و اختالل رفتاري,5
جمع کل,4598
