علت فوت,تعداد
بيماري هاي عفوني و انگلي,478
بيماريهاي سيستم عصبي,42
سرطانها و تومورها,436
بيماري هاي دستگاه تنفسي,645
بيماري هاي قلبي و عروقي,1946
بيماري هاي دستگاه گوارش,113
بيماري هاي دستگاه ادراري و تناسلي,109
شهادت,2
ناهنجاري هاي مادرزادي و کروموزومي,10
بيماري هاي اسکلتي و عضالني,3
بيماري هاي دوران حول تولد,4
عوارض حاملگي و زايمان,0
حوادث غير عمدي,181
عالئم و حاالت بد تعريف شده و مبهم,133
بيماري هاي خونساز و دستگاه ايمني,9
نامعلوم,296
بيماريهاي غدد،تغذيه و متابوليک,33
ساير,4
بيماريهاي رواني و اختالل رفتاري,1
جمع کل,4445
