علت فوت,تعداد
بيماري هاي عفوني و انگلي,529
بيماريهاي سيستم عصبي,41
سرطانها و تومورها,406
بيماري هاي دستگاه تنفسي,655
بيماري هاي قلبي و عروقي,1917
بيماري هاي دستگاه گوارش,135
بيماري هاي دستگاه ادراري و تناسلي,87
شهادت,0
ناهنجاري هاي مادرزادي و کروموزومي,10
بيماري هاي اسکلتي و عضالني,2
بيماري هاي دوران حول تولد,5
عوارض حاملگي و زايمان,0
حوادث غير عمدي,215
عالئم و حاالت بد تعريف شده و مبهم,122
بيماري هاي خونساز و دستگاه ايمني,15
نامعلوم,299
بيماريهاي غدد،تغذيه و متابوليک,40
ساير,6
بيماريهاي رواني و اختالل رفتاري,4
جمع کل,4488
